RDMS,Component Instance ID,DBInstance GUID,Time
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,57.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,41.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,143.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,47.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,47.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,43.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,47.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,58.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,44.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,57.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,47.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,45.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,120.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,58.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,59.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,54.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,72.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,56.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,45.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,64.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,83.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,55.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,51.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,50.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,40.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,53.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,43.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,49.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,48.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,70.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,61.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,62.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,48.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,128.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,58.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,41.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,122.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,70.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,58.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,46.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,86.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,50.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,84.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,60.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,66.0,ApacheDerby
a520240f-8ddc-4f60-86d0-17fdf3273e74,DERBY_pageCacheSize_16000,73.0,ApacheDerby
68bb6f70-087d-485e-af5e-30841ae3355a,DERBY_pageCacheSize_8000,63.0,ApacheDerby
3b351183-30d8-4ce1-8645-dfbac3ad3837,DERBY_pageCacheSize_4000,59.0,ApacheDerby
7730f77a-defb-4494-8484-4ba90e9426d2,DERBY_pageCacheSize_1000,50.0,ApacheDerby
40b6d790-0940-4419-8cf4-b32d102178ce,DERBY_pageCacheSize_2000,29.0,ApacheDerby
