RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,633.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,593.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,587.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,575.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,588.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,629.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,741.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,704.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,838.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,997.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,644.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,565.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,428.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,357.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,380.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,465.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,406.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,402.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,477.0,derby.storage.pageReservedSpace,1.0
ApacheDerby,DERBY_pageReservedSpace_0,6375070a-450f-43c3-acc0-0f67f8384c20,464.0,derby.storage.pageReservedSpace,0.0
ApacheDerby,DERBY_pageReservedSpace_1,1bb9c545-da4b-455f-a022-bd3351449060,351.0,derby.storage.pageReservedSpace,1.0
