RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,7120.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,7259.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,3365.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,3442.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,2658.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,2674.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,3300.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,3427.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,2358.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,2679.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,2146.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,2758.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,1946.0,work_mem,256.0
PostgreSQL,POSTGRESQL_work_mem_64,4f0700c6-03f7-4e47-83f7-3da63cb0f504,2464.0,work_mem,64.0
PostgreSQL,POSTGRESQL_work_mem_256,0bc024c5-8c1a-47f3-b44d-6cd294e99205,2218.0,work_mem,256.0
