RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable,Is default,Query Profile
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,684.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,381.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,384.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,374.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,362.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,398.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,336.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,384.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,328.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_2,55d8ad5a-c618-48e8-b4b8-b5c050b62984,316.0,derby.storage.pageReservedSpace,2.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,673.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,506.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,363.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,511.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,449.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,296.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,301.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,322.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,334.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
ApacheDerby,DERBY_pageReservedSpace_0,b4e3c895-58b6-4d5e-87fe-c19cb5ec4e0c,363.0,derby.storage.pageReservedSpace,0.0,false,Only select salaries
