RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable,Is default,Query Profile
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,10764.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,11138.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,12235.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,11454.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,13753.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,17775.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,9684.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,10118.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,10429.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_2,1151650c-a071-4e94-b53a-3e7a22c94a7c,13196.0,derby.storage.pageReservedSpace,2.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,10592.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,10977.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,12791.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,10527.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,14754.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,18680.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,9514.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,9607.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,10404.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_0,f0565ea8-fdae-4168-a3ac-c63daed251ed,13408.0,derby.storage.pageReservedSpace,0.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,15048.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,14306.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,19240.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,16504.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,17469.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,10040.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,10249.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,9796.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,11079.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_5,dbdb3be9-847f-49bb-bf2d-4cb2faccbd31,12565.0,derby.storage.pageReservedSpace,5.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,13960.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,13138.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,18271.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,15095.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,16464.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,9110.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,9270.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,9789.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,10474.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_20,8bc25a4d-017a-4149-b1ec-84e025bd04ea,11426.0,derby.storage.pageReservedSpace,20.0,true,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,12199.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,16751.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,14966.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,11036.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,12303.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,10211.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,11954.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,10972.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,11987.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_50,e4196839-bec0-4a33-953c-fa2fc9e8c50d,11168.0,derby.storage.pageReservedSpace,50.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,12148.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,14966.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,13071.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,10350.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,11413.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,10189.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,11945.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,11485.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,11484.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageReservedSpace_100,f7a927e1-40b3-45f2-886e-a0e1a3e105eb,9837.0,derby.storage.pageReservedSpace,100.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,10583.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,12065.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,11118.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,11298.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,12370.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,11590.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,10811.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,11036.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,11326.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_4096,03b8d1b7-1878-4c03-98df-6ba9f89bc731,10240.0,derby.storage.pageSize,4096.0,true,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,10568.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,10384.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,10425.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,11121.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,11342.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,11368.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,9499.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
ApacheDerby,DERBY_pageSize_8192,4eb08a9e-f799-4333-bf8a-cba16df5a634,9985.0,derby.storage.pageSize,8192.0,false,3 sequential different selects
